"id","label","language","script","scientist","scientist_year"
65000896,"MAQIR[O!][--][A!]","goide","ogham","Macalister, R.A.S.","1918"
65000897,"DOVATTACAV[I][--]ILEH","goide","ogham","O'Sullivan, A.","1996"
65000898,"BENDACHT [-- | TOROQR[--","goide","oghms","Macalister, R.A.S.","1945"
65000899,"BEANDACHT [ ] | TOROQR[--","goide","oghms","Gippert, J.","1981"
65000900,"--]NN","ind","ogham","Macalister, R.A.S.","1945"
65000901,"--][U!][--","ind","ogham","Macalister, R.A.S.","1945"
65000902,"GALEOTOS","name","ogham","Macalister, R.A.S.","1945"
65000903,"--]MAQIRECTA","goide","ogham","Macalister, R.A.S.","1945"
65000906,"--]OTANIM[A]QILOSAGNI","goide","ogham","Macalister, R.A.S.","1945"
65000907,"--]OTANIM[A]QILOSAGN[.]","goide","ogham","O'Sullivan, A.","1996"
65000909,"ASSICONA","name","ogham","Macalister, R.A.S.","1945"
65000910,"UDDMENSACELI ||| NETTA ||| SLOGI","goide","ogham","Macalister, R.A.S.","1945"
65000911,"--]ER[.]T[.]M[.]C[..]NETAS[....]ONAS","inc","ogham","Macalister, R.A.S.","1945"
65000912,"--][RG][--][BAR]CEN[--","inc","ogham","Macalister, R.A.S.","1945"
65000913,"CORB","inc","ogham","Macalister, R.A.S.","1945"
65000914,"Q[.]CC[...]M[.]C[...]R[.]E[......]","inc","ogham","Macalister, R.A.S.","1945"
65000915,"--]CIRMAQIMUC[--","inc","ogham","Macalister, R.A.S.","1945"
65000916,"VORTIGURN","name","ogham","Macalister, R.A.S.","1945"
65000917,"VEDABARM ||| [.Q] ||| [--]LSM | MOCOIODR ||| [--]REA","inc","ogham","Macalister, R.A.S.","1945"
65000918,"--][E!]MOGwEDIAS ||| MAQ ||| IMUIBITI","inc","ogham","Macalister, R.A.S.","1907"
65000919,"MAQINI |||| LI","gaul","ogham","Macalister/1945","1945"
65000920,"LUGUDIMAQI[L-- ||| --]D[-- ||| --]QAMOCOIDONM[A]","inc","ogham","Macalister, R.A.S.","1945"
65000921,"SENAQMA[Q^C][-- ||| --][Q^C][--]NA","goide","ogham","Manning, C.","1989"
65000922,"B[--]Q[--]HAGA[--]DL","inc","ogham","Brash, R.R.","1879"
