"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000203,"Rathglass (Ogham Site)","POINT(-6.716667 52.781944)","Q85391648","Rathglass","Rathvilly","Carlow","Leinster","Ireland"
40000204,"Rathkenny (Ogham Site)","POINT(-9.72028 52.33167)","Q106626866","Rathkenny","Clanmaurice","Kerry","Munster","Ireland"
40000205,"Rathkieran (Ogham Site)","POINT(-10.33164 51.847737)","Q106628055","Rathkieran","Iveragh","Kerry","Munster","Ireland"
40000206,"Rathmalode / Loughor (Ogham Site)","POINT(-9.990556 52.1725)","Q85395567","Rathmalode","Corkaguiny","Kerry","Munster","Ireland"
40000207,"Reask (Ogham Site)","POINT(-10.382222 52.166667)","Q85393959","Reask","Corkaguiny","Kerry","Munster","Ireland"
40000208,"Rockfield / Laharan (Ogham Site)","POINT(-9.631667 52.128889)","Q85396812","Rockfield Middle","Magunihy","Kerry","Munster","Ireland"
40000209,"Rooves More (Ogham Site)","POINT(-8.784167 51.886667)","Q85394017","Rooves More","Muskerry East","Cork","Munster","Ireland"
40000210,"Rusheens East (Ogham Site)","POINT(-8.665278 53.896111)","Q85390384","Rusheens East","Costello","Mayo","Connacht","Ireland"
40000211,"Saltee Island Great (Ogham Site)","POINT(-6.6177 52.1173)","Q85391722","Saltee Island Great","Bargy","Wexford","Leinster","Ireland"
40000212,"Scattery Island (Ogham Site)","POINT(-9.51861 52.61278)","Q106626876","Scattery Island","Moyarta","Clare","Munster","Ireland"
40000213,"Seemochuda (Ogham Site)","POINT(-7.998889 52.199444)","Q85396840","Seemochuda","Coshmore and Coshbride","Waterford","Munster","Ireland"
40000214,"Shankill (Ogham Site)","POINT(-7.0275 52.69528)","Q106626901","Shankill","Gowran","Kilkenny","Leinster","Ireland"
40000215,"Shantraud (Ogham Site)","POINT(-8.447778 52.803333)","Q85393912","Shantraud","Tulla Lower","Clare","Munster","Ireland"
40000216,"Station Island (Ogham Site)","POINT(-7.871111 54.608611)","Q85392816","Station Island","Tirhugh","Donegal","Ulster","Ireland"
40000217,"Teeromoyle (Ogham Site)","POINT(-10.058889 51.970833)","Q85396810","Teeromoyle","Iveragh","Kerry","Munster","Ireland"
40000218,"Templebryan North (Ogham Site)","POINT(-8.893056 51.645)","Q85394006","Templebryan North","Carbery East (East Division)","Cork","Munster","Ireland"
40000219,"Thomastown (Ogham Site)","POINT(-7.131313 52.526469)","Q106628040","Dangan","Gowran","Kilkenny","Leinster","Ireland"
40000220,"Tinnahally (Ogham Site)","POINT(-9.7575 52.124722)","Q85396900","Tinnahally","Trughanacmy","Kerry","Munster","Ireland"
40000221,"Toberrory (Ogham Site)","POINT(-8.297778 53.8075)","Q85390711","Toberrory","Roscommon","Roscommon","Connacht","Ireland"
40000222,"Tooracurragh (Ogham Site)","POINT(-7.746944 52.267222)","Q85396862","Tooracurragh","Glenahiry","Waterford","Munster","Ireland"
40000223,"Toureen (Ogham Site)","POINT(-7.994842 52.407427)","Q106628041","Toureen","Clanwilliam","Tipperary","Munster","Ireland"
40000224,"Tralee Ogham Site (Ogham Site)","POINT(-9.710278 52.268056)","Q85396830","Tralee","Trughanacmy","Kerry","Munster","Ireland"
40000225,"Tuckamine (Ogham Site)","POINT(-6.727222 52.848056)","Q85391650","Tuckamine","Rathvilly","Carlow","Leinster","Ireland"
40000226,"Tullaghaun (Ogham Site)","POINT(-8.709444 53.728611)","Q85390409","Tullaghaun","Costello","Mayo","Connacht","Ireland"
40000227,"Tullaherin (Ogham Site)","POINT(-7.121389 52.5775)","Q85391735","Tullaherin","Gowran","Kilkenny","Leinster","Ireland"
40000228,"Tullig More (Ogham Site)","POINT(-8.757222 51.946389)","Q85394019","Tullig More","Muskerry East","Cork","Munster","Ireland"
40000229,"Tullycommon (Ogham Site)","POINT(-9.063611 53.022222)","Q85393909","Tullycommon","Inchiquin","Clare","Munster","Ireland"
40000230,"Whitefield (Ogham Site)","POINT(-9.703056 52.080556)","Q85395539","Whitefield","Dunkerron North","Kerry","Munster","Ireland"
40000231,"Windgap or Ardmore (Ogham Site)","POINT(-7.487778 52.341944)","Q85396919","Windgap or Ardmore","Upperthird","Waterford","Munster","Ireland"
