"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000066,"Cloghabrody (Ogham Site)","POINT(-7.13778 52.53472)","Q106626871","Cloghabrody","Gowran","Kilkenny","Leinster","Ireland"
40000067,"Cloghanecarhan (Ogham Site)","POINT(-10.176944 51.894167)","Q85395549","Cloghanecarhan","Iveragh","Kerry","Munster","Ireland"
40000068,"Cloheena (Ogham Site)","POINT(-9.134153 51.904032)","Q106628049","Cloheena","Muskerry West","Cork","Munster","Ireland"
40000069,"Clonmacnoise (Ogham Site)","POINT(-7.985726 53.326779)","Q106628033","Clonmacnoise","Garrycastle","Offaly","Leinster","Ireland"
40000070,"Clonmore (Ogham Site)","POINT(-6.573611 52.826389)","Q85391717","Clonmore","Rathvilly","Carlow","Leinster","Ireland"
40000071,"Cloonmorris (Ogham Site)","POINT(-7.870556 53.816389)","Q85390407","Cloonmorris","Mohill","Leitrim","Connacht","Ireland"
40000072,"Cockhill / Kilnaughtin (Ogham Site)","POINT(-9.421389 52.566667)","Q85395548","Cockhill","Iraghticonnor","Kerry","Munster","Ireland"
40000073,"Colbinstown / Killeen Cormac (Ogham Site)","POINT(-6.756389 53.031111)","Q85391762","Colbinstown","Narragh and Reban East","Kildare","Leinster","Ireland"
40000074,"Cool East / Killeenadreena (Ogham Site)","POINT(-10.365556 51.912222)","Q85395579","Cool East","Iveragh","Kerry","Munster","Ireland"
40000075,"Cooldorragha (Ogham Site)","POINT(-9.026388888 51.841944444)","Q85393945","Cooldorragha","Muskerry West","Cork","Munster","Ireland"
40000076,"Coolineagh (Ogham Site)","POINT(-8.823889 51.955833)","Q85394077","Coolineagh","Muskerry East","Cork","Munster","Ireland"
40000077,"Coolmagort (Ogham Site)","POINT(-9.642778 52.061111)","Q69379704","Coolmagort","Dunkerron North","Kerry","Munster","Ireland"
40000078,"Coolowen (Ogham Site)","POINT(-8.539722 51.957778)","Q85394074","Coolowen","Cork","Cork","Munster","Ireland"
40000079,"Coomleagh East / Coomlia (Ogham Site)","POINT(-9.283611 51.733056)","Q85394096","Coomleagh East","Bantry","Cork","Munster","Ireland"
40000080,"Corkaboy (Ogham Site)","POINT(-9.771944 52.165833)","Q85396820","Corkaboy","Trughanacmy","Kerry","Munster","Ireland"
40000081,"Corrower (Ogham Site)","POINT(-9.083889 54.074444)","Q85390388","Corrower","Gallen","Mayo","Connacht","Ireland"
