"id","insc_no","reading_no"
62000235,1,2
62000236,1,3
62000237,1,1
62000238,1,1
62000239,1,2
62000240,1,3
62000241,2,1
62000242,2,2
62000243,2,3
62000244,1,1
62000245,1,1
62000246,1,1
62000247,1,1
62000248,1,1
62000249,1,1
62000250,1,1
62000251,1,1
62000252,1,1
62000253,1,1
62000254,1,2
62000255,1,3
62000256,1,4
62000257,1,1
62000258,1,2
62000259,1,3
62000260,1,1
62000261,1,1
62000262,1,2
62000263,1,1
62000264,1,2
62000265,1,3
62000266,1,1
62000267,1,1
62000268,1,2
62000269,1,1
62000270,1,1
62000271,1,1
62000272,1,2
62000273,1,1
62000274,1,2
62000275,1,3
62000276,1,1
62000277,1,1
62000278,1,2
62000279,1,1
62000280,1,1
62000281,1,1
62000282,1,1
62000283,1,1
62000284,1,2
62000285,1,1
62000286,1,1
62000287,1,1
62000288,1,3
62000289,1,1
62000290,1,1
62000291,1,1
62000292,1,1
62000293,1,1
62000294,2,1
62000295,1,1
62000296,1,1
62000297,1,1
62000298,1,1
62000299,1,1
62000300,1,1
62000301,1,1
62000302,1,1
62000303,1,1
62000304,1,2
62000305,1,1
62000306,1,1
62000307,1,1
62000308,1,2
62000309,1,1
62000310,1,2
62000311,1,1
62000312,1,2
62000313,1,1
62000314,1,1
62000315,1,1
62000316,1,2
62000317,1,1
62000318,1,1
62000319,1,1
62000320,1,1
62000321,1,1
62000322,1,1
62000323,1,2
62000324,1,1
62000325,1,2
62000326,1,1
62000327,1,1
62000328,1,1
62000329,1,1
62000330,1,2
62000331,2,1
62000332,2,2
62000333,1,1
62000334,1,2
62000335,1,3
62000336,1,1
62000337,1,2
62000338,1,1
62000339,1,1
62000340,1,2
62000341,1,1
62000342,1,2
62000343,1,3
62000344,1,1
62000345,1,1
62000346,1,2
62000347,1,1
62000348,1,2
62000349,1,1
62000350,1,2
62000351,1,3
62000352,1,4
62000353,1,1
62000354,1,1
62000355,1,2
62000356,1,1
62000357,1,1
62000358,1,2
62000359,1,1
62000360,1,1
62000361,1,1
62000362,1,2
62000363,1,1
62000364,1,2
62000365,1,3
62000366,1,1
62000367,1,1
62000368,1,1
62000369,1,1
62000370,1,2
62000371,1,1
62000372,1,1
62000373,1,1
62000374,1,2
62000375,1,1
62000376,1,2
62000377,2,2
62000378,1,1
62000379,1,1
62000380,1,1
62000381,1,2
62000382,1,1
62000383,1,2
62000384,1,1
62000385,1,2
62000386,2,1
62000387,2,2
62000388,3,1
62000389,3,2
62000390,1,1
62000391,2,1
62000392,2,2
62000393,1,1
62000394,1,1
62000395,1,1
62000396,1,2
62000397,1,1
62000398,1,1
62000399,1,1
62000400,1,1
62000401,1,2
62000402,1,1
62000403,1,1
62000404,1,1
62000405,1,1
62000406,1,2
62000407,1,1
62000408,1,1
62000409,1,1
62000410,1,1
62000411,1,1
62000412,1,1
62000413,2,1
62000414,2,2
62000415,1,1
62000416,1,1
62000417,2,1
62000418,1,1
62000419,1,1
62000420,1,1
62000421,1,1
62000422,1,2
62000423,1,1
62000424,1,1
62000425,1,1
62000426,1,1
62000427,1,1
62000428,1,1
62000429,1,1
62000430,1,1
62000431,1,1
62000432,1,1
62000433,1,1
62000434,1,1
62000435,1,1
62000436,1,1
62000437,1,1
62000438,1,1
62000439,1,2
62000440,1,1
62000441,1,2
62000442,1,1
62000443,1,1
62000444,1,2
62000445,1,1
62000446,1,1
62000447,1,1
62000448,1,2
62000449,1,1
62000450,1,2
62000451,1,1
62000452,1,1
62000453,1,1
62000454,1,1
62000455,1,2
62000456,1,1
62000457,1,2
62000458,1,1
62000459,1,1
62000460,1,1
62000461,1,1
62000462,1,2
62000463,1,3
62000464,1,1
62000465,1,2
62000466,1,3
62000467,1,1
62000468,1,1
62000469,1,1
62000470,1,1
62000471,1,1
62000472,1,1
62000473,2,1
62000474,1,1
62000475,1,1
62000476,1,1
62000477,1,1
62000478,1,1
62000479,1,1
62000480,1,1
62000481,1,1
62000482,1,1
62000483,1,1
62000484,1,1
62000485,2,1
62000486,1,1
62000487,2,1
62000488,1,1
62000489,1,1
62000490,1,1
62000491,1,1
62000492,1,1
62000493,1,1
62000494,1,1
62000495,1,1
62000496,1,1
62000497,1,1
62000498,1,1
62000499,1,1
62000500,1,1
62000501,1,1
62000502,1,1
62000503,1,1
62000504,1,1
62000505,1,1
62000506,1,1
62000507,1,2
62000508,1,1
62000509,1,1
62000510,1,2
62000511,1,1
62000512,1,2
62000513,1,3
62000514,1,1
62000515,1,2
62000516,1,2
62000517,1,1
62000518,1,2
62000519,1,1
62000520,1,1
62000521,1,1
62000522,1,2
62000523,1,1
62000524,1,1
62000525,1,2
62000526,1,1
62000527,1,1
62000528,1,1
62000529,1,2
62000530,1,1
62000531,1,1
62000532,2,1
62000533,1,1
62000534,1,1
62000535,1,1
62000536,1,2
62000537,1,1
62000538,1,1
62000539,1,1
62000540,1,1
62000541,1,2
62000542,1,1
62000543,1,2
62000544,1,1
62000545,1,2
62000546,1,1
62000547,1,1
62000548,1,2
62000549,1,1
62000550,1,2
62000551,1,1
62000552,1,1
