"id_site","id_county"
40000104,4000103
40000005,4000101
40000198,4000030
40000110,4000030
40000196,4000011
40000139,4000023
40000063,4000019
40000195,4000019
40000102,4000019
40000122,4000019
40000092,4000019
40000094,4000019
40000230,4000019
40000153,4000019
40000050,4000019
40000149,4000019
40000095,4000019
40000077,4000019
40000205,4000019
40000178,4000019
40000177,4000019
40000155,4000019
40000217,4000019
40000157,4000019
40000206,4000019
40000047,4000019
40000084,4000019
40000132,4000019
40000015,4000019
40000162,4000019
40000008,4000019
40000009,4000019
40000112,4000019
40000039,4000019
40000167,4000019
40000024,4000019
40000022,4000019
40000048,4000019
40000124,4000019
40000013,4000019
40000028,4000019
40000118,4000019
40000074,4000019
40000101,4000019
40000067,4000019
40000056,4000019
40000161,4000019
40000158,4000019
40000166,4000019
40000065,4000019
40000046,4000019
40000199,4000019
40000194,4000019
40000147,4000019
40000014,4000019
40000208,4000019
40000131,4000019
40000100,4000019
40000180,4000019
40000140,4000019
40000072,4000019
40000182,4000019
40000017,4000019
40000207,4000019
40000184,4000019
40000083,4000019
40000054,4000019
40000183,4000019
40000021,4000019
40000096,4000019
40000019,4000019
40000181,4000019
40000115,4000019
40000204,4000019
40000159,4000019
40000160,4000019
40000043,4000019
40000010,4000019
40000224,4000019
40000085,4000019
40000089,4000019
40000055,4000019
40000027,4000019
40000011,4000019
40000080,4000019
40000220,4000019
40000130,4000019
40000113,4000019
40000020,4000019
40000006,4000019
40000202,4000019
40000032,4000019
40000152,4000019
40000141,4000019
40000123,4000019
40000003,4000019
40000034,4000019
40000071,4000026
40000029,4000017
40000188,4000017
40000018,4000017
40000041,4000020
40000025,4000020
40000049,4000016
40000004,4000016
40000163,4000016
40000210,4000016
40000081,4000016
40000099,4000016
40000144,4000016
40000142,4000016
40000226,4000016
40000193,4000014
40000061,4000014
40000191,4000014
40000037,4000031
40000103,4000031
40000091,4000031
40000012,4000031
40000222,4000031
40000154,4000031
40000121,4000031
40000146,4000031
40000170,4000031
40000192,4000031
40000119,4000031
40000038,4000031
40000171,4000031
40000002,4000031
40000165,4000031
40000231,4000031
40000035,4000031
40000090,4000031
40000169,4000031
40000086,4000031
40000213,4000031
40000138,4000009
40000156,4000009
40000211,4000009
40000023,4000009
40000082,4000009
40000062,4000005
40000098,4000005
40000045,4000005
40000168,4000005
40000040,4000005
40000107,4000105
40000151,4000024
40000203,4000024
40000225,4000024
40000070,4000024
40000137,4000024
40000060,4000024
40000216,4000013
40000036,4000027
40000117,4000027
40000176,4000027
40000175,4000027
40000026,4000027
40000219,4000027
40000134,4000027
40000214,4000027
40000066,4000027
40000108,4000027
40000227,4000027
40000135,4000027
40000064,4000027
40000069,4000004
40000221,4000029
40000105,4000029
40000058,4000102
40000114,4000012
40000229,4000012
40000212,4000012
40000215,4000012
40000223,4000006
40000190,4000006
40000197,4000006
40000189,4000104
40000133,4000025
40000044,4000025
40000109,4000025
40000201,4000025
40000125,4000025
40000228,4000025
40000030,4000025
40000033,4000025
40000128,4000025
40000059,4000025
40000087,4000025
40000127,4000025
40000150,4000025
40000076,4000025
40000116,4000025
40000148,4000025
40000079,4000025
40000057,4000025
40000007,4000025
40000218,4000025
40000200,4000025
40000016,4000025
40000088,4000025
40000052,4000025
40000145,4000025
40000111,4000025
40000120,4000025
40000136,4000025
40000053,4000025
40000078,4000025
40000031,4000025
40000186,4000025
40000179,4000025
40000143,4000025
40000075,4000025
40000126,4000025
40000068,4000025
40000173,4000025
40000164,4000025
40000172,4000025
40000093,4000025
40000051,4000025
40000174,4000025
40000185,4000025
40000209,4000025
40000187,4000025
40000042,4000025
40000097,4000018
40000073,4000018
40000106,4000022
