"id_stone","id_person"
20000074,400422
30000008,400518
20000294,400168
20000271,400409
20000174,400461
20000234,400025
20000099,400478
20000041,400333
20000174,400368
20000232,400264
20000046,400465
30000127,400283
20000053,400235
20000036,400344
20000010,400090
20000041,400333
20000251,400194
20000147,400119
20000326,400331
20000160,400238
30000041,400336
30000106,400154
20000059,400065
20000281,400287
20000250,400209
20000048,400224
20000223,400085
20000143,400483
20000109,400310
30000035,400525
20000176,400417
20000052,400135
30000110,400020
20000039,400201
30000079,400352
20000009,400124
20000335,400477
20000321,400403
20000295,400405
20000164,400362
20000162,400485
20000028,400497
20000215,400028
20000306,400262
30000047,400048
20000133,400531
20000076,400178
20000049,400398
30000096,400266
20000196,400347
20000173,400305
20000162,400384
20000305,400052
20000042,400181
20000130,400153
20000367,400221
20000141,400175
20000080,400141
20000170,400345
20000303,400230
20000260,400428
20000182,400053
20000354,400324
20000108,400433
20000238,400498
30000097,400278
20000035,400514
30000050,400246
20000142,400291
20000071,400399
20000065,400179
30000101,400417
20000159,400166
20000173,400295
20000174,400149
20000145,400529
20000087,400379
20000039,400200
30000104,400439
30000092,400385
20000292,400222
20000197,400061
20000026,400105
30000079,400260
20000236,400476
20000047,400249
30000158,400504
30000042,400203
20000156,400260
20000218,400188
30000005,400099
30000107,400295
20000286,400094
30000028,400463
30000074,400029
30000157,400511
20000209,400335
20000042,400332
20000078,400183
20000305,400489
20000118,400245
30000088,400229
20000302,400256
20000365,400254
20000303,400518
20000159,400475
20000201,400501
20000080,400301
20000118,400406
20000363,400233
20000227,400197
20000122,400022
30000111,400378
20000119,400342
20000229,400279
20000193,400513
30000039,400444
20000177,400126
20000131,400314
20000182,400053
30000038,400187
20000263,400404
20000202,400097
20000227,400215
20000011,400378
20000155,400117
20000117,400050
20000352,400024
20000100,400103
20000313,400136
20000013,400015
20000221,400401
30000097,400345
20000224,400127
30000027,400070
20000297,400218
20000003,400017
20000211,400157
20000113,400333
20000165,400002
20000330,400104
20000172,400014
20000335,400459
20000363,400304
20000213,400422
20000351,400365
30000099,400295
30000037,400307
20000186,400370
30000099,400220
20000275,400357
20000030,400156
20000099,400444
20000072,400090
30000009,400145
20000233,400038
20000277,400285
20000108,400430
20000082,400130
20000026,400109
20000290,400268
30000034,400176
30000042,400176
20000251,400150
20000147,400173
20000086,400371
20000147,400269
20000138,400446
20000298,400372
20000364,400327
20000131,400481
20000085,400179
20000340,400448
20000113,400333
20000283,400237
20000079,400315
20000048,400030
20000192,400492
30000137,400492
20000077,400070
20000234,400367
20000348,400402
30000128,400241
30000135,400488
20000344,400084
20000301,400009
20000183,400137
20000011,400284
20000364,400494
30000010,400536
20000040,400236
20000158,400213
20000265,400019
30000161,400089
30000034,400381
20000207,400219
20000089,400068
20000176,400323
20000179,400033
20000057,400178
30000147,400465
20000126,400520
20000315,400054
20000088,400412
30000125,400491
20000234,400026
20000150,400113
