"id_stone","id_site"
20000067,40000001
50000276,40000002
50000274,40000002
20000179,40000002
50000273,40000002
50000277,40000002
20000177,40000002
30000105,40000002
30000109,40000002
20000175,40000002
20000180,40000002
50000272,40000002
20000173,40000002
10000206,40000002
30000101,40000002
30000106,40000002
20000182,40000002
10000209,40000002
50000279,40000002
30000099,40000002
10000205,40000002
30000100,40000002
10000200,40000002
50000280,40000002
10000203,40000002
30000102,40000002
50000275,40000002
30000104,40000002
20000174,40000002
50000278,40000002
10000199,40000002
30000108,40000002
10000208,40000002
20000176,40000002
30000103,40000002
20000181,40000002
10000202,40000002
10000204,40000002
20000178,40000002
50000281,40000002
10000201,40000002
10000047,40000003
50000138,40000003
10000045,40000003
20000003,40000003
50000139,40000003
10000044,40000003
20000004,40000003
50000140,40000003
20000005,40000003
50000009,40000004
10000312,40000004
20000001,40000004
20000002,40000005
50000317,40000005
10000249,40000005
20000006,40000006
30000014,40000006
10000049,40000006
10000048,40000006
20000007,40000006
50000142,40000006
30000015,40000006
50000141,40000006
50000069,40000007
10000292,40000007
20000010,40000007
30000138,40000007
20000009,40000007
10000290,40000007
30000139,40000007
50000070,40000007
20000008,40000007
30000140,40000007
10000291,40000007
50000071,40000007
10000050,40000008
50000143,40000008
20000014,40000008
50000347,40000009
20000015,40000009
20000017,40000010
30000085,40000010
30000086,40000010
10000168,40000010
20000016,40000010
10000169,40000010
50000322,40000010
50000321,40000010
30000146,40000011
50000324,40000011
30000013,40000011
50000136,40000011
10000042,40000011
20000018,40000011
20000012,40000012
20000011,40000012
10000189,40000012
50000263,40000012
50000265,40000012
30000095,40000012
20000013,40000012
50000264,40000012
30000094,40000012
10000190,40000012
10000191,40000012
30000093,40000012
10000051,40000013
20000019,40000013
50000144,40000013
50000247,40000014
20000022,40000014
10000170,40000014
10000052,40000015
20000020,40000015
50000145,40000015
30000016,40000015
20000021,40000016
10000293,40000016
50000072,40000016
30000018,40000017
50000147,40000017
20000049,40000017
10000054,40000017
50000258,40000018
20000068,40000018
10000183,40000018
20000054,40000019
50000154,40000019
30000021,40000019
20000052,40000019
10000061,40000019
50000151,40000019
10000055,40000019
50000153,40000019
20000056,40000019
10000062,40000019
10000059,40000019
20000058,40000019
50000343,40000019
50000152,40000019
10000056,40000019
20000053,40000019
30000022,40000019
20000057,40000019
50000150,40000019
50000148,40000019
50000149,40000019
30000023,40000019
10000058,40000019
10000060,40000019
20000055,40000019
30000024,40000019
20000051,40000019
30000020,40000019
20000082,40000020
10000072,40000020
30000026,40000020
20000083,40000020
30000032,40000020
20000075,40000020
10000065,40000020
30000028,40000020
50000161,40000020
50000156,40000020
20000077,40000020
50000159,40000020
10000070,40000020
20000078,40000020
10000063,40000020
50000158,40000020
20000081,40000020
20000079,40000020
10000071,40000020
10000067,40000020
10000064,40000020
30000034,40000020
10000066,40000020
50000157,40000020
50000155,40000020
50000162,40000020
30000025,40000020
10000069,40000020
50000163,40000020
30000027,40000020
50000160,40000020
30000031,40000020
20000080,40000020
20000076,40000020
30000033,40000020
30000029,40000020
10000073,40000021
50000164,40000021
10000074,40000021
20000085,40000021
50000165,40000021
20000084,40000021
50000166,40000022
20000072,40000022
30000035,40000022
10000075,40000022
50000042,40000023
10000261,40000023
20000050,40000023
10000076,40000024
50000167,40000024
20000065,40000024
10000077,40000024
50000168,40000024
20000066,40000024
20000046,40000025
30000147,40000025
50000325,40000025
50000038,40000026
10000256,40000026
20000047,40000026
30000126,40000026
20000048,40000027
50000348,40000027
20000091,40000028
50000169,40000028
20000090,40000028
10000078,40000028
50000344,40000028
20000063,40000029
10000182,40000029
50000257,40000029
50000100,40000030
30000004,40000030
50000101,40000030
20000026,40000030
10000005,40000030
30000145,40000030
20000028,40000030
10000320,40000030
10000321,40000030
20000025,40000030
50000099,40000030
10000004,40000030
30000144,40000030
50000097,40000030
30000002,40000030
50000098,40000030
10000322,40000030
30000143,40000030
10000003,40000030
20000030,40000030
30000003,40000030
20000029,40000030
20000027,40000030
50000102,40000030
20000044,40000031
20000043,40000031
20000032,40000031
50000096,40000031
10000313,40000031
10000305,40000031
50000089,40000031
50000086,40000031
10000319,40000031
20000045,40000031
20000041,40000031
50000085,40000031
10000304,40000031
10000307,40000031
50000088,40000031
50000087,40000031
20000035,40000031
10000315,40000031
20000031,40000031
10000314,40000031
20000039,40000031
50000094,40000031
20000036,40000031
50000091,40000031
20000038,40000031
10000311,40000031
50000083,40000031
10000308,40000031
20000040,40000031
10000316,40000031
20000034,40000031
10000318,40000031
50000093,40000031
10000306,40000031
50000090,40000031
