"id_site","id_province"
40000049,3000001
40000004,3000001
40000163,3000001
40000210,3000001
40000221,3000001
40000071,3000001
40000081,3000001
40000099,3000001
40000144,3000001
40000142,3000001
40000226,3000001
40000105,3000001
40000139,3000001
40000041,3000002
40000025,3000002
40000193,3000002
40000061,3000002
40000191,3000002
40000138,3000002
40000156,3000002
40000062,3000002
40000036,3000002
40000069,3000002
40000097,3000002
40000196,3000002
40000211,3000002
40000023,3000002
40000117,3000002
40000176,3000002
40000175,3000002
40000073,3000002
40000106,3000002
40000098,3000002
40000045,3000002
40000168,3000002
40000040,3000002
40000151,3000002
40000203,3000002
40000225,3000002
40000070,3000002
40000137,3000002
40000060,3000002
40000026,3000002
40000219,3000002
40000134,3000002
40000214,3000002
40000066,3000002
40000108,3000002
40000227,3000002
40000135,3000002
40000064,3000002
40000082,3000002
40000063,3000003
40000195,3000003
40000102,3000003
40000122,3000003
40000092,3000003
40000094,3000003
40000230,3000003
40000153,3000003
40000050,3000003
40000149,3000003
40000095,3000003
40000077,3000003
40000205,3000003
40000178,3000003
40000177,3000003
40000155,3000003
40000217,3000003
40000157,3000003
40000206,3000003
40000047,3000003
40000084,3000003
40000132,3000003
40000015,3000003
40000162,3000003
40000008,3000003
40000009,3000003
40000112,3000003
40000039,3000003
40000167,3000003
40000024,3000003
40000022,3000003
40000048,3000003
40000124,3000003
40000013,3000003
40000028,3000003
40000118,3000003
40000074,3000003
40000101,3000003
40000067,3000003
40000056,3000003
40000161,3000003
40000158,3000003
40000166,3000003
40000065,3000003
40000046,3000003
40000199,3000003
40000194,3000003
40000147,3000003
40000014,3000003
40000208,3000003
40000131,3000003
40000100,3000003
40000180,3000003
40000140,3000003
40000072,3000003
40000182,3000003
40000029,3000003
40000188,3000003
40000018,3000003
40000017,3000003
40000207,3000003
40000184,3000003
40000083,3000003
40000054,3000003
40000183,3000003
40000021,3000003
40000096,3000003
40000019,3000003
40000037,3000003
40000103,3000003
40000091,3000003
40000012,3000003
40000222,3000003
40000154,3000003
40000133,3000003
40000181,3000003
40000115,3000003
40000121,3000003
40000146,3000003
40000170,3000003
40000192,3000003
40000119,3000003
40000038,3000003
40000171,3000003
40000002,3000003
40000165,3000003
40000204,3000003
40000159,3000003
40000160,3000003
40000043,3000003
40000010,3000003
40000224,3000003
40000085,3000003
40000089,3000003
40000231,3000003
40000035,3000003
40000090,3000003
40000169,3000003
40000086,3000003
40000213,3000003
40000114,3000003
40000229,3000003
40000212,3000003
40000215,3000003
40000223,3000003
40000190,3000003
40000197,3000003
40000044,3000003
40000109,3000003
40000201,3000003
40000125,3000003
40000228,3000003
40000030,3000003
40000033,3000003
40000128,3000003
40000059,3000003
40000087,3000003
40000127,3000003
40000150,3000003
40000076,3000003
40000116,3000003
40000148,3000003
40000079,3000003
40000057,3000003
40000007,3000003
40000218,3000003
40000200,3000003
40000016,3000003
40000088,3000003
40000052,3000003
40000145,3000003
40000111,3000003
40000120,3000003
40000136,3000003
40000053,3000003
40000078,3000003
40000031,3000003
40000186,3000003
40000179,3000003
40000143,3000003
40000075,3000003
40000126,3000003
40000068,3000003
40000173,3000003
40000164,3000003
40000172,3000003
40000093,3000003
40000055,3000003
40000027,3000003
40000011,3000003
40000080,3000003
40000220,3000003
40000130,3000003
40000113,3000003
40000020,3000003
40000006,3000003
40000202,3000003
40000032,3000003
40000152,3000003
40000141,3000003
40000123,3000003
40000003,3000003
40000034,3000003
40000051,3000003
40000174,3000003
40000185,3000003
40000209,3000003
40000187,3000003
40000042,3000003
40000216,3000004
40000198,3000004
40000110,3000004
40000104,3000004
40000005,3000004
40000107,3000004
40000058,3000004
40000189,3000004
