id|label|name_caps
400271|loga|LOGA
400272|logideas|LOGIDEAS
400273|logitti|LOGITTI
400274|lonamni|LONAMNI
400275|lonas|--]LONAS
400276|losagni|LOSAGN[I]
400277|lubbais|LUBBAIS
400278|luga|LUGA
400279|lugaddon|LUGADDON
400280|luguaedon|LUGUAEDON
400281|lugudec|LUGUDEC
400282|lugudeca|LUGUDECA
400283|lugudecas|LUGUDECAS
400284|lugudeccas|LUGUDECCAS
400285|lugudi|LUGUDI
400286|luguduc|LUGUDUC
400287|luguni|LUGUNI
400288|luguqqrittas|LUGUQQRITTAS
400289|luguqrit|LUGUQRIT
400290|luguqrrit|L[UGUQ]RRIT
400291|lugutti|LUGUTTI
400292|luguvvec|LUGUVVEC
400293|luguvvecca|LUGUVVECCA
400294|luqin|LUQIN
400295|macorbo|MACORBO?
400296|madora|MADORA
400297|maelfinnia|MAELFINNIA
400298|magann|MAGANN
400299|maglani|MAGLANI
400300|mago|--]MAGO
400301|mailagni|MAILAGNI
400302|maileinbir|MAILE-INBIR
400303|mailoguro|MAILOGURO
400304|makini|MAKINI
400305|manu|MANU
400306|maqacto|MAQ-ACTO
400307|maqiainia|MAQI-AINIA
400308|maqibri|MAQI-BRI[--
400309|maqicairatini|MAQI-CAIRATINI
400310|maqicarattinn|MAQI-CARATTINN
400311|maqicorabir|MAQI-CORABIR
400312|maqicunalig|MAQI-CUNALIG...
400313|maqiddecceda|MAQI-DDECCEDA
400314|maqiddumileas|MAQI-DDUMILEAS
400315|maqidecceda|MAQI-DECCEDA
400316|maqidecceddas|MAQI-DECCEDDAS
400317|maqideceda|MAQI-DECEDA
400318|maqidecedas|MAQI-DECEDAS
400319|maqidumileas|MAQI-DUMILEAS
400320|maqieracias|MAQI-ERACIAS
400321|maqiercias|MAQI-ERCIAS
400322|maqiesea|MAQI-ESEA
400323|maqiini|MAQI-INI...
400324|maqil|MAQIL
400325|maqiliag|MAQI-LIAG
400326|maqioc|MAQI-OC[--
400327|maqirec|MAQI-REC[--
400328|maqiretc|MAQI-RET/C...
400329|maqirite|MAQI-RITE
400330|maqiriteas|MAQI-RITEAS
400331|maqiritte|MAQI-RITTE
400332|maqirodagni|MAQI-RODAGNI
400333|maqitreni|[MAQI-T]RENI
400334|maqittal|MAQI-TTAL
400335|maqqidecedda|MAQQI-DECEDDA
400336|maqqierccia|MAQQI-ERCCIA
400337|maqqierccias|MAQQI-ERCCIAS
400338|maqqiiari|MAQQI-IARI
400339|maqqilasiren|MAQQI-LASIRE(N)
400340|maqqiqetti|MAQQI-QETTI
400341|mariani|MARIANI
400342|marin|MARIN
400343|medalo|MEDALO
400344|meddogeni|MEDDOGENI
400345|medusi|MEDUSI
400346|medvvi|MEDVVI
400347|melagia|MELAGIA
400348|menueh|MENUEH
400349|menumaqi|MENUMAQ[I]
400350|meutini|MEUTINI
400351|micanavvi|MICANAVVI
400352|minerc|MINERC?
400353|minnaccanni|MINNACCANNI
400354|mocurruti|MOCURRUTI
400355|moddagni|MODDAGN[I]
400356|moesac|MOESAC
400357|mogwedias|MOGWEDIAS
400358|mogwunilocid|MOGWUNILOCID
400359|moinena|MOINENA
400360|molegomrid|MOLEGOMRID
400361|mongedias|MONGEDIAS
400362|mounin|MOUNIN
400363|mucci|MUCCI
400364|muibiti|MUIBITI
400365|municcona|MUNICCONA
400366|municona|MUNICONA
400367|naguni|NAGUNI
400368|nai|[--]NAI
400369|nami|--]NAMI
400370|navallo|NAVALLO
400371|neagracolinea|NEAGRACOLINEA
400372|neggni|[--]NEGGNI
400373|netacagi|NETA-CAGI
400374|netacari|NETA-CARI
400375|netacunas|NETACUNAS
400376|netancunas|NE[TANCUN]AS
400377|netasalagia|NETA-SALAGIA?
400378|netasegamonas|NETA-SEGAMONAS
400379|netavroqi|NETAVROQI
400380|nettacunas|NETTACU[NAS]
400381|nettalaminacca|NETTA-LAMINACCA
400382|nettaslogi|NETTASLOGI
400383|nettattrenalugos|NETTA-TTRENALUGOS
400384|nettavrecc|NETTAVRECC
400385|nettavroicc|NETTAVROICC
400386|nili|NILI
400387|niotta|NIOTTA
400388|niottvrecc|NIOTTVRECC
400389|nisigni|NISIGNI
400390|noarra|NOARRA
400391|nocati|NOCATI
400392|nuadat|NUADAT
400393|odrrea|ODR...REA
400394|oeluri|--]OELURI
400395|ogala|OGALA
400396|ogatos|OGATOS
400397|oggodika|[--][O]GGODIKA
400398|olacon|OLACON
400399|olagni|OLAGNI
400400|oqoli|OQOLI
400401|oribrassia|ORIBRASSIA
400402|ornecnus|ORNECNUS
400403|osbbar|OSBBAR
400404|otani|--]OTANI
400405|ottinn|OTTINN
400406|ovanos|OVANOS
400407|qasigni|QASIGNI
400408|qci|Q[--]CI
400409|qeccias|QECCIAS?
400410|qecia|QECIA
400411|qenilocgni|QENILOCGNI
400412|qeniloci|QENILOCI
400413|qenuven|QENUVEN[--
400414|qerai|QERAI
400415|qetais|QETAIS
400416|qetiass|QET[IAS?]S
400417|qetteas|[QE]TTEAS
400418|qic|QIC[--
400419|qlog|QLOG
400420|qregas|QREGAS
400421|qrit|QRIT[--]
400422|qritti|QRITTI
400423|queci|QUECI
400424|queniloc|QUENILOC
400425|qunacanos|QUNACANOS
400426|qveci|QVECI
400427|ragavvecc|RAGAVVECC
400428|recta|RECTA
400429|retagin|RETAGIN
400430|rettavvecass|RE[TTA]VVECASS
400431|rini|RINI
400432|rittavveccas|RITTAVVECCAS
400433|rittecc|RITTECC
400434|rittuvvecc|RITTUVVECC
400435|rituvvecas|RITUVVECAS
400436|rodagni|RODAGNI
400437|roddos|RODDOS
400438|ronann|RONANN
400439|rottais|ROTTAIS
400440|rtagni|--]RTAGNI
400441|ruteni|RUTENI
400442|s|S[--
400443|sacattini|SACATTINI
400444|sagarettos|SAG(A)RETTOS
400445|sagittari|SAGITTARI
400446|saina|SAINA
400447|salagia|SALAGIA
400448|sammnn|SAMMNN
400449|scamagni|SCAMAGNI
400450|scilagni|SCILAGNI
400451|sdanbi|SDANBI
400452|secidari|SECIDARI
400453|sedani|SEDANI
400454|seddoini|SEDDOINI
400455|senaq|SENAQ
400456|severrit|SEVERRIT
400457|sidani|SIDANI
400458|sillann|SILLANN
400459|sogini|SOGINI
400460|sonnocc|SONNOCC
400461|sovalini|SOVALINI
400462|srusa|SRUSA
400463|suvallos|SUVALLOS
400464|talagni|TALAGNI
400465|tan|TAN...
400466|taqmaqo|TAQMAQO[--
400467|tasegagni|TASEGAGNI
400468|tegann|TEGANN
400469|tegg|TEGG[--
400470|teluna|[T]ELUNA
400471|temoca|TEMOCA
400472|tenaci|TENAC[I]
400473|tenas|TENAS
400474|thurgrim|[TH]URGRIM
400475|tidonna|TIDONN[A]
400476|tigirn|TIGIRN
400477|tobira|TOBIRA
400478|togittac|TOGITTAC
400479|togittacci|TOGITTACC[I]?
400480|toicac|TOICAC
400481|toicaci|TOICACI
400482|toicaki|TOICAKI
400483|toraesceusas|TORAESCEUSAS
400484|toroqrim|TOROQR[IM]
400485|trenaluggo|TRENALUGGO?
400486|trenilu|TRENIL[U][--
400487|treno|TRENO
400488|trenu|TRENU
400489|ttrenalugos|TTRENALUGOS
400490|tucacac|TUCACAC
400491|tulotanagia|TULOTANAGIA
400492|turanias|TURANIAS
400493|u|--]U
400494|uddami|UDDAMI
400495|uddglomett|UDD[GLO]METT
400496|uddmensa|UDDMENSA
400497|ulccagni|ULCCAGNI
400498|umall|[--]UMALL[--]
400499|v|V[--
400500|vagni|--]VAGNI
400501|vaitevia|VAITEVIA
400502|valamni|VALAMNI
400503|valuvi|VALUVI
400504|vattillogg|VATTILLOGG
400505|vecrec|VECREC
400506|vecumen|VECUMEN
400507|vedabar|VEDABAR
400508|vedacuna|VEDACUNA
400509|veddellemetto|VEDDELLEMETTO
400510|veddonos|VEDDONOS
400511|vedelmeto|VEDELMETO
400512|vedelmett|VEDELMETT
400513|vedlloiggoi|VEDLLOIGGOI
400514|veduceri|VEDUCERI
400515|veni|VENI
400516|veqikami|VEQIKAMI
400517|veqoanai|VEQOANAI
400518|veqreq|VEQREQ
400519|vergoso|VERGOSO
400520|videttas|VIDETTAS
400521|vinnagitlet|VINNAGITLET[--
400522|viragni|VIRAGNI
400523|viricorb|VIRICORB
400524|virranni|VIRR[--]ANNI
400525|vitalin|VITALIN
400526|vlatiami|VLATIAMI
400527|vlisacesucmir|VLISACESUCMIR
400528|vobaraci|VOBARACI
400529|vocagni|VOCAGNI
400530|voenacunas|VOENACUNAS
400531|vorgos|VORGOS
400532|vorrtigurn|VORRTIGURN
400533|vortigurn|VORTIGURN
400534|vorudran|VORUDRAN
400535|voti|VOTI
400536|vraicci|VRAICCI
400537|vu|VU[--]
400538|vuruddrann|VURUDDRANN
